province,region,weather_date,temperature,humidity,precipitation,wind_speed,pressure,weather_condition,source
Ha Noi,North,6/3/2025,28.8,80,14.6,14.1,1001.4,Heavy Rain,OpenMeteo
Ha Noi,North,6/4/2025,27.5,88,32.6,11.1,1004,Heavy Rain,OpenMeteo
Ha Noi,North,6/5/2025,28.5,83,6.4,15.1,1004.4,Moderate Rain,OpenMeteo
Ha Noi,North,6/6/2025,29.2,85,8.2,14.3,1003.1,Moderate Rain,OpenMeteo
Ha Noi,North,6/7/2025,29.7,85,9.4,13.9,1002,Moderate Rain,OpenMeteo
Ha Noi,North,6/8/2025,29.3,84,12.1,11.8,1001.4,Heavy Rain,OpenMeteo
Ha Noi,North,6/9/2025,28.2,86,20.3,10.9,1001.6,Moderate Rain,OpenMeteo
Ha Noi,North,6/10/2025,27.4,85,15.4,17.5,1002.4,Moderate Rain,OpenMeteo
Ha Noi,North,6/11/2025,28.7,76,1.2,14.6,1001.7,Moderate Drizzle,OpenMeteo
Ha Noi,North,6/12/2025,29.3,72,0.1,21.3,1000.6,Light Drizzle,OpenMeteo
Ha Noi,North,6/13/2025,28.8,78,6.8,19.9,999.7,Light Rain,OpenMeteo
Ha Noi,North,6/14/2025,30.3,75,1.5,13.2,998.8,Moderate Drizzle,OpenMeteo
Ha Noi,North,6/15/2025,29.1,86,32.4,14.5,999.8,Heavy Rain,OpenMeteo
Ha Noi,North,6/16/2025,28.1,86,3.6,10.6,1001.9,Moderate Drizzle,OpenMeteo
Ha Noi,North,6/17/2025,28.8,87,3,14.1,1001.6,Dense Drizzle,OpenMeteo
Ha Noi,North,6/18/2025,30.2,77,1.4,17.9,1000.7,Dense Drizzle,OpenMeteo
Ha Noi,North,6/19/2025,30.3,79,0.7,15.7,1000.3,Moderate Drizzle,OpenMeteo
Ha Noi,North,6/20/2025,29.7,81,20.3,17.5,1000.7,Heavy Rain,OpenMeteo
Ha Noi,North,6/21/2025,27.7,91,48.6,11.1,1002.2,Heavy Rain,OpenMeteo
Ha Noi,North,6/22/2025,27.1,90,59,12.6,1003.3,Heavy Rain,OpenMeteo
Ha Noi,North,6/23/2025,28.6,84,10.3,14.3,1001.9,Moderate Rain,OpenMeteo
Ha Noi,North,6/24/2025,28.7,85,4.3,15.7,1002.2,Light Rain,OpenMeteo
Ha Noi,North,6/25/2025,28.6,84,6.3,12.8,1004,Light Rain,OpenMeteo
Ha Noi,North,6/26/2025,29.1,83,2.7,9,1002.8,Light Rain,OpenMeteo
Ha Noi,North,6/27/2025,26.5,93,58,13.7,1001.7,Heavy Rain,OpenMeteo
Ha Noi,North,6/28/2025,26.8,90,27.9,15.6,1001,Heavy Rain,OpenMeteo
Ha Noi,North,6/29/2025,27.2,89,20.7,15.7,998.8,Moderate Rain,OpenMeteo
Ha Noi,North,6/30/2025,27.2,91,35.9,11.7,999.1,Heavy Rain,OpenMeteo
Ha Noi,North,7/1/2025,27,88,36.9,14.3,1001.5,Moderate Rain,OpenMeteo
Ha Noi,North,7/2/2025,26.7,88,8.2,14.3,1003.9,Moderate Rain,OpenMeteo
Ha Noi,North,7/3/2025,26.5,90,21.2,14.8,1004.5,Moderate Rain,OpenMeteo
Ha Noi,North,7/4/2025,27.5,87,4.8,7.9,1003.1,Moderate Rain,OpenMeteo
Ha Noi,North,7/5/2025,29.1,79,0.4,10.9,1001.3,Light Drizzle,OpenMeteo
Ha Noi,North,7/6/2025,28.6,83,8.5,13.5,1001.1,Heavy Rain,OpenMeteo
Ha Noi,North,7/7/2025,28.6,85,2.5,10.1,1000.2,Light Rain,OpenMeteo
Ha Noi,North,7/8/2025,30.3,79,0.2,10.4,998.1,Light Drizzle,OpenMeteo
Ha Noi,North,7/9/2025,30.1,83,0.8,16.5,996.9,Light Drizzle,OpenMeteo
Ha Noi,North,7/10/2025,29.4,84,0.9,12.4,995.9,Light Drizzle,OpenMeteo
Ha Noi,North,7/11/2025,27.4,90,28.5,13.7,997.5,Heavy Rain,OpenMeteo
Ha Noi,North,7/12/2025,27.1,89,21.2,11.2,1001.6,Moderate Rain,OpenMeteo
Ha Noi,North,7/13/2025,28.4,86,5,11.2,1002.8,Dense Drizzle,OpenMeteo
Ha Noi,North,7/14/2025,28.5,88,4.1,8.8,1001.4,Dense Drizzle,OpenMeteo
Ha Noi,North,7/15/2025,29.4,82,0.6,11.1,999.4,Light Drizzle,OpenMeteo
Ha Noi,North,7/16/2025,29.6,85,6.8,11.5,999.7,Moderate Rain,OpenMeteo
Ha Noi,North,7/17/2025,30.6,79,0.4,10.3,1000.1,Light Drizzle,OpenMeteo
Ha Noi,North,7/18/2025,31.5,74,0,10.1,997.5,Overcast,OpenMeteo
Ha Noi,North,7/19/2025,29.4,83,15.9,10.1,994.9,Heavy Rain,OpenMeteo
Ha Noi,North,7/20/2025,28.5,86,2.3,15.1,994.1,Light Rain,OpenMeteo
Ha Noi,North,7/21/2025,27.9,89,35,29.3,991.5,Moderate Rain,OpenMeteo
Ha Noi,North,7/22/2025,27.5,84,35.3,32,988.9,Heavy Rain,OpenMeteo
Ha Noi,North,7/23/2025,27.5,86,14.5,17.1,995.7,Moderate Rain,OpenMeteo
Ha Noi,North,7/24/2025,27.3,89,21.2,13.7,998.9,Moderate Rain,OpenMeteo
Ha Noi,North,7/25/2025,27.5,90,11,8.7,999.2,Moderate Rain,OpenMeteo
Ha Noi,North,7/26/2025,28.4,87,14.9,11.7,998.9,Heavy Rain,OpenMeteo
Ha Noi,North,7/27/2025,28.7,85,1.2,13.3,998.3,Moderate Drizzle,OpenMeteo
Ha Noi,North,7/28/2025,29.7,81,0.2,11.9,996.7,Light Drizzle,OpenMeteo
